Sentiment, Comment
1.0, The Da Vinci Code book is just awesome
1.0, this was the first clive cussler i've ever read but even books like Relic and Da Vinci code were more plausible than this
1.0, i liked the Da Vinci Code a lot
1.0, i liked the Da Vinci Code a lot
1.0, I liked the Da Vinci Code but it ultimatly didn't seem to hold it's own
1.0, that's not even an exaggeration ) and at midnight we went to Wal-Mart to buy the Da Vinci Code which is amazing of course
1.0, I loved the Da Vinci Code but now I want something better and different!.
1.0, i thought da vinci code was great same with kite runner
1.0, The Da Vinci Code is actually a good movie..
1.0, I thought the Da Vinci Code was a pretty good book
1.0, The Da Vinci Code is one of the most beautiful movies ive ever seen
1.0, The Da Vinci Code is an * amazing * book do not get me wrong
1.0, then I turn on the light and the radio and enjoy my Da Vinci Code
1.0, The Da Vinci Code was REALLY good
1.0, i love da vinci code...
1.0, i loved da vinci code.
1.0, TO NIGHT:: THE DA VINCI CODE AND A BEAUTIFUL MIND..
1.0, THE DA VINCI CODE is AN AWESOME BOOK...
1.0, Thing is I enjoyed The Da Vinci Code
1.0, very da vinci code slash amazing race
1.0, Hey I loved The Da Vinci Code!.
1.0, also loved the da vinci code.
1.0, I really enjoyed the Da Vinci Code but thought I would be disappointed in the other books & # 8230;
1.0, I do like Angels and Demons more then The Da Vinci Code
1.0, The Da Vinci Code was a really good movie
1.0, yeah da vinci code is an awesome movie i liked it pretty interesting
1.0, I really like The Da Vinci Code
1.0, Da Vinci Code is amazing
1.0, The Da Vinci Code was awesome..
1.0, The Da Vinci Code's backtory on various religious historical figures and such were interesting at times but I'm more of scifi girl at heart
1.0, Book ( s ): I love The Da Vinci Code.
1.0, And then we went to see The Da Vinci Code which was CRAZY awesome and Ian McKellen is my old gay husband
1.0, " Now some people will say to me Joe I liked the Da Vinci code you're being too hard on Dan Brown
1.0, I love the da vinci code..
1.0, Well I did enjoy Bridget Jones and I loved the Da Vinci Code so this idea appeals to me and it takes Chick Lit into one of the few arenas that the genre has yet to explore..
1.0, I just read Da Vinci Code ( which was AWESOME by the way ) Â
1.0, The Da Vinci Code is excellent if you read it as normal as you read other novels.
1.0, I loved the Da Vinci Code
1.0, I love reading The Da Vinci Code!!!
1.0, I'm telling you the Da Vinci Code is an AWESOME book
1.0, Then again my opinion may be a bit biased because I loved the Da Vinci Code soundtrack. )
1.0, And I was quite pleased with my own open-mindedness after having loved The Da Vinci Code so much that I was able to get equal enjoyment " seeing how the other side reads
1.0, I love the Da Vinci Code
1.0, Da Vinci code is awesome
