;https://www.youtube.com/watch?v=LgmxMuW6Fsc;;
label;comment;;
1;Ive been waiting for this music video ever since the song came out on Hungry Ghosts;;
-1;"Everyone knows brand's papers from.
But -No one- knows about welfare of employees !!!
It's so bad bad bad & bad !!!!";;
0;"“Your paper cut balance is: 
-£25279102771”";;
1;OH SHIT WHEN I SAW THIS ON MY FRONT PAGE...... I LOVE THIS SONG;;
1;Blowing my mind yet again;;
0;Should have gone with Dunder Mifflin;;
1;Made me smile! Great work;;
1;;;
1;The mad methodical geniuses do it again.;;
1;Am I the only person who actually loves their music and not just the video?;;
1;The ad was the best...the store owner saved alot on payroll....hire her and it's like hiring six people...;;
-1;Waste of ink and paper!!!!!;;
1;*Lol he almost fell **1:18*;;
1;who ever thumbed down this video ya mommas a hoe;;
0;it takes 40 trees to create this mv;;
1;__;;
0;Ah yes, the novelty band returns.;;
0;This music reminds me of FNAF 2 song by TheLivingTombstone...;;
0;Thanks for warning us if we have seizures cause I do.;;
1;Fire music video;;
1;I like it, keep up the good work. Me personally I think you should do English too and fix a little glitches. I love the beat and the DJ he was amazing. Don’t stop what your doing maybe change up the hair a little but don’t cut it! Good work keep it up :D;;
-1;Váyanse a la verga;;
-1;Vayanse a la verga.... No mames... Que chingón...;;
0;I got a strange nagging sensation that kept making me think this song felt like Bad by Michael Jackson lol;;
1;Ok Go does it again!;;
-1;"Should have been called ""Destroy the Planet"" or ""Waste Away""";;
1;ohmygodtheymadeanotherone;;
1;Their music videos never fail to amaze me;;
-1;Boring. Not worth it.;;
-1;If this is real… what a waste for a crappy video!;;
1;________;;
-1;Sad to say, but I think they're running out of ideas.;;
1;I don't know how you guys keep outdoing yourselves, but I'm so glad you exist.;;
0;Are these Peter Gabriel's kids?;;
-1;Such a waste wow;;
0;PERFUME FAN ASSEMBLE!;;
1;I'm a bit confused whether the printers are PRINTING all those full color pages that fast, or just spitting out a pre-printed stack in the programmed sequence.  Either way it's amazing.;;
1;i think its funny that anyone cares about the paper. the printers are what you should be worried about, that and ink.;;
0;"they have a real ""obsession"" with making extremely difficult videos";;
1;OK GO never disappoint me. Stay amazing.;;
1;Yet another randomly impressive video from OK Go. Now if only their music wasn't completely worthless.;;
1;I like the sound  _;;
1;am I being hypnotized? ??;;
0;I live in a paperless household.  This is so retro.;;
1;You guys are so talented and so good at  making awesome videos. Can't wait for the next one!!;;
1;They are back with another amazing video! Welcome back?;;
1;Crazy awesome MV yet again guys!;;
1;_____;;
0;How did they network the printers? Existing software or custom?;;
0;My orchestra teacher showed us this. If anyone who goes to Twality Middle School please respond.;;
0;Perfume anybody?;;
1;i just speachless how can they do that? that was awesome;;
-1;Hold on this is an AD?;;
0;This marks the last time I'll ever be able to tell myself I'm wasting paper.;;
1;I liked it it just hurt my eyes;;
1;"Oh my goodness
This MV blow my mind
__ ____ ____ _";;
-1;THANKS FOR WASTING ALL OF THIS PAPER FOR A MEDIOCRE MUSIC VIDEO GUYS :/ (recycled or not!);;
1;Holly!! so creative!!!!;;
0;muy ecológico todo;;
1;this band creates miracle;;
1;That moment you just look up OKGO for fun cause oyu havent in a while and they recently posted a vid. Good timing.;;
-1;_________________i am environmentalist and i don't like this__;;
0;needs more cowbell;;
1;YOU'VE DONE IT AGAIN. Also, I hope you actually have fun making these videos.;;
1;Holy shit!!__;;
1;I'm very happy they included a little piece of American Sign Language at 1:43;;
0;2:10 Gravity's just a habit;;
0;"Super Video, i like it very much.
But, why the paper? Why you wasted all that paper?
It's too. much. wasted. paper.";;
0;"For those of you wondering what the main singer ( I forgot his name) did at the 1:40 mark he spelled ""its obsession"" in ASL (American sign language.";;
1;"Lol ""Phuket"" Thailand XD";;
0;subtitles? im 2nd generation Deaf. I'd appreciate if you'd add captions or subtitles to this video. whats even more? it is not auto-translated or auto-generated.;;
0;I have an obsession with hearing your next studio album. New album when?;;
1;Once again, OK Go prove why they're the absolute best at music videos.;;
1;i've watched this 5 times;;
-1;Works better when the song is good;;
-1;Rip off of nite runner by Duran Duran lol;;
1;THIS IS AMAZING! How do y'all come up with these ideas, and make them into these awesome music videos! Y'all are exceptional.;;
1;"Thank you for the heads up, I am one of the ""flashing light affected"" it's crazy how the brain can short circuit.  Amazing talent...impressive...";;
0;lol;;
-1;This is not a music video, it's a printer commercial.;;
-1;They must have spend a lot of woods and trees :(;;
0;"Dunder Mifflin; Limitless paper, in a paperless world";;
1;This is like New Order and Pet Shop Boys had a baby. I love it!!;;
0;how many trees were there?;;
1;Fuck that was crazy.;;
0;I think this was directed by Michael Scott.;;
0;Thank you for the pre warning- I get migraines easy so I was careful..;;
1;Awesome! Like...always :D OK Go always have the best ideas for making a music viceo super creativ. It's always entertaining and fun to watch this. I don't want to know how much time they spend on filming things likes that but...keep going! <3 Awesome work! <3;;
1;I envy and pray for the editor(s) of this video.;;
-1;SO concerned over the amount of ink they used. You can recycle the paper, but not the ink. A little disappointed in this, fellas.;;
0;Okay, but now I really want to go and purchase coloured paper?;;
1;"Wow!  I first imagined they had 'stacked' the paper feeders with colored paper, but soon realized that would be less likely than actually burning all that ink. Just ""Wow.""";;
0;Those papers has same amount of homework;;
0;We love trees.;;
-1;"The video-editing kinda ruins the ""live"" feel that your old videos had.";;
-1;Let's love trees.;;
-1;who mixed this?;;
-1;bitch, what the fuck!!!;;
0;Does anyone know what model printer this is?;;
0;I liked the part where the paper printed out;;
1;Is there even a limit to their creativity  (and possibly their budget) ?;;
1;I LOVE YOU ALL.;;
1;"In an era when MTV no longer stands for Music Television, OK Go keeps the spirit of the music video art form alive and consistently innovated. Your videos remind me of old Peter Gabriel videos like ""Sledge Hammer"" and ""Steam"" when he was constantly raising the bar.";;
0;Fuck sustainability xD;;
1;I can't even imagine how much time they spent doing this. Amazing.;;
-1;http://CashTheTasks.com/?refer=9243;;
1;GENIUS!!!...as usual!;;
0;"Behind the scenes:
https://www.youtube.com/watch?time_continue=259&v=DF5qL4RMdqA";;
1;Wow;;
1;This song suck all the ass. BUT this video is genius!!;;
0;___ __ _______?;;
1;Amazing work! It's a wonder they haven't received a Video Vanguard Award by now. SMH;;
1;This is the best band in 40 years. Their videos are the best videos since MTV died.  And here's to the Korg Monologue making a dual appearance. :)..... I love Ok Go.;;
1;Thanks Youtube recommended;;
-1;The music is some kind of shitty;;
0;Charles Bouche you should already Bree subscribed to okgo instead odd the tending;;
1;wow. just wow!!!;;
1;se pasaron! amazing!!! <3 cla clap clap.;;
1;How can you dislike this? Again, absolutely genius!;;
1;You guys are awesome!;;
1;_____;;
1;This is amazing, you guys never fail to blow my mind.;;
0;WHAT THE FUCK ._.;;
1;this just made my day! been waiting for a new ok go music video for so long :');;
1;_...;;
-1;__ _____ __________ ______ ___ __ ___ ______ ______ _ _______;;
1;___;;
0;Tiene un parecido a un tema de la banda inecex,l;;
0;"like si hablas español
like si hablas español";;
0;https://timebucks.com/?refID=214996001 https://www.youtube.com/watch?v=VacvQbug5s4;;
1;Damn!! another masterpiece...;;
0;Do you know the feeling, when you hear a song to many times, and you start to hate it? How are you suppose to avoid this, when the music videos are so perfect, and you want to watch it over and over again.;;
1;you guys be cant be so brillant everytime....brilliant video guys...after sol long....fully worth the wait....brilliant...;;
1;I'm not a huge fan of pop or pop/alternative or whatever, but I've grown to love several of this band's songs because of their brilliant videos.;;
0;https://timebucks.com/?refID=214996001 https://www.youtube.com/watch?v=VacvQbug5s4;;
0;Its looks cg ,not the actual printing for some part.;;
1;Amazing as always.;;
1;"Hey Mr Ok Go, for your next video I want computer synced drones with LED programmable pixel grids on their sides forming dancing shapes to the music within a snow covered landscape in the dark with them as the only light source. And a pink unicorn. 
I’m sure you’ll get right on it. Cheers. ;)";;
