URL: https://www.youtube.com/watch?v=vNoKguSdy4Y,
,
1,Best song ever
1,Love it
0,Buraya trk gelmemi dediler geldik
1,I love this music and Taylor Swift 3great
1,Ay love you
1,Im a huge fan of Taylor swift
1,SO NICE2018
0,TAAK
1,ITS 2018 AND IM STILL LOVING THIS
0,Anyone is watching this in 2169
0,Follow theofficialmirandasmith on insta
0,Iconic
0,Its now a meme song
0,me after a hangout looking at the bottle of rum
1,love it
1,we love you taylor
0,Could be a movie
0,BOI UR POINTING OUT MY HARRY BY SAYING HE WAS TROUBLE WOWW AND U USED A UGLY GUY LIKE HIM TO IMPERSONATE HARRY C
1,lm your big fan
1,eu  amo essa musica  e a  Taylor
0,Black ops 2 memories
-1,Racist
-1,I think that if everyone is leaving her and dumping her the problem is in herDiehard fans replying with death threats in 321
0,You found me
0,Wow Now I see
0,Dorian Gray is that you
0,Taylor come back come back come back
0,2018 anyone
1,This is my favorite song
-1,HE BROKE MY HEART meme
-1,Im a demon
1,I love esta cancion
0,if your a Taylor fan like plz
1,Taylor Swift Shake it off Taylor Swift I Knew You Were Trouble Taylor Swift look what you made me do all those are all three of my favorite songs
1,good
1,amo esta musica
-1,This guy is a rilly bad guyI feal so bad for youthis guy is a brat shame on him
0,why isnt this on reputation world tour set list
1,Thats Reeve Carney i love his music oml
0,Oml is that reeve
-1,Taylor voice makes me cry
0,May 222018Where are you brazilians and americans
-1,Definitely for Jake JonesI knew he was trouble His friends tried to warn me what you were really like but I cared about you so much that I didnt realise just how bad of friend he was to me
-1,Aaaaaa Aaaaa trouble trouble trouble
0,Mayo 2018
1,Good times
-1,Trouble Trouble Touble
1,I love it
1,i love your vidoes so muc
0,Time to get swifty
0,2018 BRAZIL
1,I miss you Taylor  I still love your new songs  Im going to your concert in June
0,KNEW Y WERE RBLE
0,yo Taylor got twice as many subscriber s than Jake Paul
0,What music
-1,Misses homeworkTeacherYou need a horrible punishmentBecause of homeworkMe Homework I knew you were trouble
-1,One of the Alot of boyfriends taylor broke up with
-1,The beggining of the song is unnecessarily
0,TaylorSwift
0,ak
0,Best of Taylor 3
1,i really love this song its like Breaking you from you and you Ex s memories
0,Max I thought your with Chloe
-1,What annoyed me that the song only started 2 MINUTES AND THREE SECONDS IN
0,I wish she will sing her old songs again
1,I loved this one
-1,It wasnt losing him it was losing me
-1,Taylors musics always been shit but this is seriously her dumbest song She goes from sounding like a monkey EEEEEEEE to sounding like her balls dropped TROUBOOTROUBOOTROUBOO
0,IM  GOING  TO YOUR  CONCERT
0,no enjoo dessa  msica nunca 3
1,The best song of Taylor
0,Who knew that Taylor Swift wrote this song for Harry Styles  LMAO
0,What happened I MISS U OLD T
1,Ohh lyin on the cold hard ground ohhh trouble trouble trouble LOVE IT LOVE YOU TAYLOR
1,1 like
0,Anyone in 2018may
0,TENSION FREE ME
0,Who is watching this on 2018
1,I love Tay
1,Old Taylor  BEST
-1,The editing on this video is too fast You can barely see Reeve
1,This is my song shes my favorite
1,Awesome
1,My favourite Taylor Swifts song
1,My favourite Taylor Swifts song
0,Whats his name
1,Still a bop
1,here i love this Song
0,omg gah he cheated on her how could you she was like an angel
1,I love Taylor
1,This is iconic
1,i Love you
1,Legendr
1,Amazing video
1,ahh no me canso de escucharla 3
0,Same
1,hell YES
0,Remix adam izledikten sonra ne zaman u arky dinlesemglesim geliyor
0,2018 Anyone
1,but Taylor is good
-1,I dont want the pop genre
-1,Penny dreadfull
0,In this video you look like Max Caufield from Life Is Strange game XD FACE
-1,who would kiss an ugly duck
1,I love you taylor swft 333 nice songg
-1,I wanna see you in Louisville but idont have the tickets
0,I feel really bad that happened to you TaylorI like this song cause the meaning of the song happened to me i like to listen to it
0,Anyone May 2018
0,The same thing is happening to me I guess I did lose myself in the waves of distracted love
0,Any swifter in 2018
-1,When will we see Taylors mental breakdown      I believe its coming soon lol
1,I love her
-1,Who else misses the old Taylor
1,Wow amazing
0,Je crois  je crois que quand cest finia vient juste en flashes tu vois Cest comme un kalidoscope de souvenirsTout revient Mais lui jamaisJe crois quune partie de moi savais  la seconde o je lai vu que ceci arriveraitCe nest pas vraiment quil aie dit ou fait quelque choseCtait le sentiment que me venaitEt le truc fou cest que je ne sais pas si je le ressentirai encoreMais je ne sais pas si je devraisJe savais que son monde bougeait trop vite et brulait trop fortMais je me demande juste comment le mal peut te pousser vers quelquun qui ressemble tellement  un ange quand il te sourit Peuttre quil la su quand il ma vueJe pense que jai seulement perdu lquilibreJe crois que le pire dans tout a ce nest pas de lavoir perduCest de mavoir perdue
0,The boyfriend in this skit has played Spiderman in the Broadway Show and Dorian Gray in Penny Dreadful TSwift just wanted his immortal radioactive spider painting
0,abuk olalm akm ark biticek Msmglglnhlfl
-1,HES IN TROUBLE TROUBLE FOR LYING TO ME
0,Sorryryryryryr
0,Sory
