video: https://www.youtube.com/watch?v=sRBsJNdK1t0 ,
 1 ,Hispanic for Trump!
 -1 ,Taking down this video for copyright infringement.
 -1 ,This speech literaly ripped off the Dark Knight Rises during Bane's speech
 -1 ,Poop him
 -1 ,He's speeching like a communist leader
0 ,Play this with https://www.youtube.com/watch?v=shaNFDyC5UI playing in the background starting from 0:10.
-1 ,Just do it. It doesn't get much better.
-1 ,do not take my transgressions lightly or my recent instances of unfruitfulness as they are a symbol of how small man is right now.
0 ,Josh Willson
0 ,6 hours ago
