Quarter,Facebook revenue(USD millions)
Q2 2012,1184
Q3 2012,1262
Q4 2012,1585
Q1 2013,1458
Q2 2013,1813
Q3 2013,2016
Q4 2013,2585
Q1 2014,2502
Q2 2014,2910
Q3 2014,3203
Q4 2014,3851
Q1 2015,3543
Q2 2015,4041
Q3 2015,4501
Q4 2015,5841
Q1 2016,5382
Q2 2016,6436
Q3 2016,7011
Q4 2016,8809
Q1 2017,8032
Q2 2017,9321
Q3 2017,10328
Q4 2017,12972
Q1 2018,11966
Q2 2018,13231
Q3 2018,13727
Q4 2018,16914
Q1 2019,15077
Q2 2019,16886
Q3 2019,17652
Q4 2019,21082
Q1 2020,17737
Q2 2020,18687
Q3 2020,21470
Q4 2020,28072
