Quarter,Facebook ad revenue(USD millions)
Q2 2012,992
Q3 2012,1086
Q4 2012,1329
Q1 2013,1245
Q2 2013,1599
Q3 2013,1798
Q4 2013,2344
Q1 2014,2265
Q2 2014,2676
Q3 2014,2957
Q4 2014,3594
Q1 2015,3317
Q2 2015,3827
Q3 2015,4299
Q4 2015,5637
Q1 2016,5201
Q2 2016,6239
Q3 2016,6816
Q4 2016,8629
Q1 2017,7857
Q2 2017,9164
Q3 2017,10142
Q4 2017,12779
Q1 2018,11795
Q2 2018,13038
Q3 2018,13539
Q4 2018,16640
Q1 2019,14912
Q2 2019,16624
Q3 2019,17383
Q4 2019,20736
Q1 2020,17440
Q2 2020,18321
Q3 2020,21221
Q4 2020,27187
