Quarter,Monthly_active_users(millions)
Q1 2010,431
Q2 2010,482
Q3 2010,550
Q4 2010,608
Q1 2011,680
Q2 2011,739
Q3 2011,800
Q4 2011,845
Q1 2012,901
Q2 2012,955
Q3 2012,1007
Q4 2012,1056
Q1 2013,1110
Q2 2013,1155
Q3 2013,1189
Q4 2013,1228
Q1 2014,1276
Q2 2014,1317
Q3 2014,1350
Q4 2014,1393
Q1 2015,1441
Q2 2015,1490
Q3 2015,1545
Q4 2015,1591
Q1 2016,1654
Q2 2016,1712
Q3 2016,1788
Q4 2016,1860
Q1 2017,1936
Q2 2017,2006
Q3 2017,2072
Q4 2017,2129
Q1 2018,2196
Q2 2018,2234
Q3 2018,2271
Q4 2018,2320
Q1 2019,2375
Q2 2019,2414
Q3 2019,2449
Q4 2019,2498
Q1 2020,2603
Q2 2020,2701
Q3 2020,2740
Q4 2020,2797
