Quarter,Daily_active_users(millions)
Q1 2011,372
Q2 2011,417
Q3 2011,457
Q4 2011,483
Q1 2012,526
Q2 2012,552
Q3 2012,584
Q4 2012,618
Q1 2013,665
Q2 2013,699
Q3 2013,728
Q4 2013,757
Q1 2014,802
Q2 2014,829
Q3 2014,864
Q4 2014,890
Q1 2015,936
Q2 2015,968
Q3 2015,1007
Q4 2015,1038
Q1 2016,1090
Q2 2016,1128
Q3 2016,1179
Q4 2016,1227
Q1 2017,1284
Q2 2017,1325
Q3 2017,1368
Q4 2017,1401
Q1 2018,1449
Q2 2018,1471
Q3 2018,1495
Q4 2018,1523
Q1 2019,1562
Q2 2019,1587
Q3 2019,1623
Q4 2019,1657
Q1 2020,1734
Q2 2020,1785
Q3 2020,1820
Q4 2020,1845
